,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
MBP,0.918354344163559,0.0,3.362695e-05,0.0,0.009900990099009901,7.374083794783588e-05,0.0,0.0,0.010144457068657686
SNAP25,0.8743967624743854,0.0,3.362695e-05,0.0,0.009900990099009901,9.430499015931123e-05,0.0,0.0,0.010144457068657686
PLP1,0.8701125773929438,0.0,3.362695e-05,0.0,0.009900990099009901,7.066279292039396e-05,0.0,0.0,0.010144457068657686
SPP1,0.8516397270037103,0.0,3.362695e-05,0.0,0.009900990099009901,7.623244352317593e-05,0.0,0.0,0.010144457068657686
VSNL1,0.8440425011807448,0.0,3.362695e-05,0.0,0.009900990099009901,9.740457723129932e-05,0.0,0.0,0.010144457068657686
COL3A1,0.8418899317282489,0.0,3.362695e-05,0.0,0.009900990099009901,7.858786302359559e-05,0.0,0.0,0.010144457068657686
COL1A1,0.8269411097420475,0.0,3.362695e-05,0.0,0.009900990099009901,7.778208651489164e-05,0.0,0.0,0.010144457068657686
SYN1,0.8175966070849628,0.0,3.362695e-05,0.0,0.009900990099009901,8.999429713815286e-05,0.0,0.0,0.010144457068657686
MT-CO2,0.8170004252665194,0.0,3.362695e-05,0.0,0.009900990099009901,7.207307998112909e-05,0.0,0.0,0.010144457068657686
SYT1,0.8129326615296244,0.0,3.362695e-05,0.0,0.009900990099009901,0.00010061277045013517,0.0,0.0,0.010144457068657686
ENC1,0.8035074431669971,0.0,3.362695e-05,0.0,0.009900990099009901,9.211332261750308e-05,0.0,0.0,0.010144457068657686
NRGN,0.8035064849958734,0.0,3.362695e-05,0.0,0.009900990099009901,7.82341998225757e-05,0.0,0.0,0.010144457068657686
MDM2,0.7988209813321854,0.0,3.362695e-05,0.0,0.009900990099009901,7.201090599985212e-05,0.0,0.0,0.010144457068657686
MOBP,0.7972170352045834,0.0,3.362695e-05,0.0,0.009900990099009901,5.6040342807022425e-05,0.0,0.0,0.010144457068657686
ATP1A3,0.7912894625692073,0.0,3.362695e-05,0.0,0.009900990099009901,9.757618561086358e-05,0.0,0.0,0.010144457068657686
CHI3L1,0.7902286665826791,0.0,3.362695e-05,0.0,0.009900990099009901,7.317826353059128e-05,0.0,0.0,0.010144457068657686
OLFM1,0.7749221791129334,0.0,3.362695e-05,0.0,0.009900990099009901,8.615476727289915e-05,0.0,0.0,0.010144457068657686
CAMK2A,0.7740837914460067,0.0,3.362695e-05,0.0,0.009900990099009901,6.462116312904378e-05,0.0,0.0,0.010144457068657686
SYP,0.7709045618881056,0.0,3.362695e-05,0.0,0.009900990099009901,8.570409138343113e-05,0.0,0.0,0.010144457068657686
NAPB,0.7683772234338331,0.0,3.362695e-05,0.0,0.009900990099009901,7.901170868719194e-05,0.0,0.0,0.010144457068657686
DNM1,0.7669081494921336,0.0,3.362695e-05,0.0,0.009900990099009901,8.217844899560175e-05,0.0,0.0,0.010144457068657686
SLC35E3,0.7604537403119355,0.0,3.362695e-05,0.0,0.009900990099009901,8.101165021576156e-05,0.0,0.0,0.010144457068657686
SNCB,0.7548565315561188,0.0,3.362695e-05,0.0,0.009900990099009901,8.208884902980525e-05,0.0,0.0,0.010144457068657686
CRYM,0.7518227627604693,0.0,3.362695e-05,0.0,0.009900990099009901,9.159615037109773e-05,0.0,0.0,0.010144457068657686
SYN2,0.7500300534470876,0.0,3.362695e-05,0.0,0.009900990099009901,8.930347112245021e-05,0.0,0.0,0.010144457068657686
GNG3,0.7466433163747734,0.0,3.362695e-05,0.0,0.009900990099009901,8.706480039561168e-05,0.0,0.0,0.010144457068657686
CHN1,0.7447052035480036,0.0,3.362695e-05,0.0,0.009900990099009901,6.345663739780017e-05,0.0,0.0,0.010144457068657686
RTN1,0.7406961191944925,0.0,3.362695e-05,0.0,0.009900990099009901,8.63043093832683e-05,0.0,0.0,0.010144457068657686
CA11,0.7388867078420975,0.0,3.362695e-05,0.0,0.009900990099009901,7.495559765100467e-05,0.0,0.0,0.010144457068657686
SLC1A2,0.7366793331104579,0.0,3.362695e-05,0.0,0.009900990099009901,8.178114644357536e-05,0.0,0.0,0.010144457068657686
COL1A2,0.7360462915618694,0.0,3.362695e-05,0.0,0.009900990099009901,8.556297611710515e-05,0.0,0.0,0.010144457068657686
CPLX2,0.73517580241988,0.0,3.362695e-05,0.0,0.009900990099009901,7.81883773102572e-05,0.0,0.0,0.010144457068657686
CREG2,0.7319213824205255,0.0,3.362695e-05,0.0,0.009900990099009901,7.825950822640964e-05,0.0,0.0,0.010144457068657686
NDRG4,0.7291919465274368,0.0,3.362695e-05,0.0,0.009900990099009901,6.418194998816927e-05,0.0,0.0,0.010144457068657686
CHGA,0.7252494013857695,0.0,3.362695e-05,0.0,0.009900990099009901,7.382037448324516e-05,0.0,0.0,0.010144457068657686
GRIA2,0.7237384721181763,0.0,3.362695e-05,0.0,0.009900990099009901,8.102547163507322e-05,0.0,0.0,0.010144457068657686
VEGFA,0.7230580280064972,0.0,3.362695e-05,0.0,0.009900990099009901,7.027945934767089e-05,0.0,0.0,0.010144457068657686
BEX1,0.7226790389451587,0.0,3.362695e-05,0.0,0.009900990099009901,7.729918143930856e-05,0.0,0.0,0.010144457068657686
CNP,0.7221144668526492,0.0,3.362695e-05,0.0,0.009900990099009901,6.308380803341185e-05,0.0,0.0,0.010144457068657686
PACSIN1,0.7216905556257746,0.0,3.362695e-05,0.0,0.009900990099009901,7.873114869468711e-05,0.0,0.0,0.010144457068657686
TMEM59L,0.7202968405132683,0.0,3.362695e-05,0.0,0.009900990099009901,7.531923904114067e-05,0.0,0.0,0.010144457068657686
EEF1A2,0.7187797807177253,0.0,3.362695e-05,0.0,0.009900990099009901,8.97454894790632e-05,0.0,0.0,0.010144457068657686
MDM1,0.7185737959133365,0.0,3.362695e-05,0.0,0.009900990099009901,8.314152050474407e-05,0.0,0.0,0.010144457068657686
GABRA1,0.7180259635804109,0.0,3.362695e-05,0.0,0.009900990099009901,8.399097530077069e-05,0.0,0.0,0.010144457068657686
STMN2,0.712515515689993,0.0,3.362695e-05,0.0,0.009900990099009901,7.997366177150476e-05,0.0,0.0,0.010144457068657686
NPTXR,0.7084448238774295,0.0,3.362695e-05,0.0,0.009900990099009901,6.778336901974572e-05,0.0,0.0,0.010144457068657686
NSF,0.7077360641328893,0.0,3.362695e-05,0.0,0.009900990099009901,9.82593847364001e-05,0.0,0.0,0.010144457068657686
PTPRN,0.7066192844307971,0.0,3.362695e-05,0.0,0.009900990099009901,8.162450044147637e-05,0.0,0.0,0.010144457068657686
SULT4A1,0.7064952578933832,0.0,3.362695e-05,0.0,0.009900990099009901,7.03220917416867e-05,0.0,0.0,0.010144457068657686
THY1,0.7059734391811229,0.0,3.362695e-05,0.0,0.009900990099009901,7.785923915669987e-05,0.0,0.0,0.010144457068657686
NCS1,0.7054051922741381,0.0,3.362695e-05,0.0,0.009900990099009901,6.982654293436856e-05,0.0,0.0,0.010144457068657686
FBXL16,0.7026673552749964,0.0,3.362695e-05,0.0,0.009900990099009901,9.52722421222851e-05,0.0,0.0,0.010144457068657686
STXBP1,0.7024620189905867,0.0,3.362695e-05,0.0,0.009900990099009901,8.141566335311573e-05,0.0,0.0,0.010144457068657686
GRIN1,0.7023979571235597,0.0,3.362695e-05,0.0,0.009900990099009901,6.814819648795293e-05,0.0,0.0,0.010144457068657686
HPCA,0.7008433062173504,0.0,3.362695e-05,0.0,0.009900990099009901,6.812780224573612e-05,0.0,0.0,0.010144457068657686
TUBB2A,0.7001472426105059,0.0,3.362695e-05,0.0,0.009900990099009901,8.399087364734703e-05,0.0,0.0,0.010144457068657686
ERMN,0.6981307210778817,0.0,3.362695e-05,0.0,0.009900990099009901,6.686454335572087e-05,0.0,0.0,0.010144457068657686
PHYHIP,0.6961626568524294,0.0,3.362695e-05,0.0,0.009900990099009901,7.238797048763756e-05,0.0,0.0,0.010144457068657686
FAIM2,0.6949815160368437,0.0,3.362695e-05,0.0,0.009900990099009901,7.486390678582926e-05,0.0,0.0,0.010144457068657686
NSG2,0.6930396521594363,0.0,3.362695e-05,0.0,0.009900990099009901,6.795461899819967e-05,0.0,0.0,0.010144457068657686
TMEM130,0.6915492149148752,0.0,3.362695e-05,0.0,0.009900990099009901,7.055524586886255e-05,0.0,0.0,0.010144457068657686
NPTX1,0.6898090319354286,0.0,3.362695e-05,0.0,0.009900990099009901,6.999739123858175e-05,0.0,0.0,0.010144457068657686
NCDN,0.6858447360665612,0.0,3.362695e-05,0.0,0.009900990099009901,8.150272124036201e-05,0.0,0.0,0.010144457068657686
NEFM,0.6851972165031248,0.0,3.362695e-05,0.0,0.009900990099009901,6.442615013238333e-05,0.0,0.0,0.010144457068657686
CXCL8,0.6845645943551969,0.0,3.362695e-05,0.0,0.009900990099009901,6.169593328306453e-05,0.0,0.0,0.010144457068657686
TMEM144,0.684015935007353,0.0,3.362695e-05,0.0,0.009900990099009901,6.281506577917387e-05,0.0,0.0,0.010144457068657686
SEPTIN3,0.6796746940259629,0.0,3.362695e-05,0.0,0.009900990099009901,8.888626697293229e-05,0.0,0.0,0.010144457068657686
TF,0.6792640460755276,0.0,3.362695e-05,0.0,0.009900990099009901,5.399123265024205e-05,0.0,0.0,0.010144457068657686
GABBR2,0.6764177797381047,0.0,3.362695e-05,0.0,0.009900990099009901,7.288334838847692e-05,0.0,0.0,0.010144457068657686
STX1B,0.675358212875972,0.0,3.362695e-05,0.0,0.009900990099009901,7.922763364915075e-05,0.0,0.0,0.010144457068657686
SLC17A7,0.6739695183207046,0.0,3.362695e-05,0.0,0.009900990099009901,6.985415616500172e-05,0.0,0.0,0.010144457068657686
